Animal ID,house_number,street_name,city,state
A841888,,,Unknown,
A841076,,,Unknown,
A881741,,,Unknown,
A872400,,,Unknown,
A878961,,,Unknown,
A816662,,,Unknown,
A847901,,,Unknown,
A850447,,,Unknown,
A921131,,,Unknown,
A824084,,,Unknown,
A794965,,,Unknown,
A877745,,,Unknown,
A847910,,,Unknown,
A921930,,,Unknown,
A901222,,,Unknown,
A870946,,,Unknown,
A847908,,,Unknown,
A811811,,,Unknown,
A904896,,,Unknown,
A810189,,,Unknown,
A854015,,,Unknown,
A852430,,,Unknown,
A847911,,,Unknown,
A875908,,,Unknown,
A869469,,,Unknown,
A922150,,,Unknown,
A906800,,,Unknown,
A876330,,,Unknown,
A861973,,,Unknown,
A859163,,,Unknown,
A812875,,,Unknown,
A836702,,,Unknown,
A911877,,,Unknown,
A841951,,,Austin,TX
A813326,,,Unknown,
A879391,,,Unknown,
A845293,,,Unknown,
A784319,,,Unknown,
A836733,,,Unknown,
A847906,,,Unknown,
A814371,,,Unknown,
A720905,,,Unknown,
A882453,,,Unknown,
A834250,,,Unknown,
A805467,,,Unknown,
A904956,,,Unknown,
A690359,,,Unknown,
A885328,,,Unknown,
A847896,,,Unknown,
A842182,,,Unknown,
A870437,,,Unknown,
A884003,,,Unknown,
A875962,,,Unknown,
A872867,,,Unknown,
A896849,,,Unknown,
A902620,,,Unknown,
A610566,,,Unknown,
A839760,,,Unknown,
A897206,,,Unknown,
A896651,,,Unknown,
A747614,,,Unknown,
A827386,,,Unknown,
A876484,,,Unknown,
A847742,,,Unknown,
A841237,,,Unknown,
A814338,,,Unknown,
A812875,,,Unknown,
A924278,,,Unknown,
A901262,,,Unknown,
A810937,,,Unknown,
A857409,,,Unknown,
A825628,,,Unknown,
A801167,,,Unknown,
A820081,,,Austin,TX
A825881,,,Unknown,
A841865,,,Unknown,
A825298,,,Unknown,
A895875,,,Unknown,
A852365,,,Unknown,
A894836,,,Unknown,
A837549,,,Unknown,
A882447,,,Unknown,
A877850,,,Unknown,
A812110,,,Unknown,
A850106,,,Unknown,
A882451,,,Unknown,
A889365,,,Unknown,
A845998,,,Unknown,
A762670,,,Unknown,
A823945,,,Unknown,
A920462,,,Unknown,
A864538,,,Unknown,
A868237,,,Unknown,
A818957,,,Unknown,
A859228,,,Unknown,
A828709,,,Unknown,
A803798,,,Unknown,
A818293,,,Unknown,
A811071,,,Unknown,
A845576,,,Unknown,
A557091,,,Unknown,
A805941,,,Unknown,
A850875,,,Unknown,
A849166,,,Unknown,
A896302,,,Unknown,
A839869,,,Unknown,
A861282,,,Austin,TX
A829747,,,Unknown,
A886481,,,Unknown,
A859030,,,Unknown,
A856136,,,Unknown,
A827617,,,Unknown,
A889106,,,Unknown,
A826655,,,Unknown,
A828089,,,Unknown,
A896266,,,Unknown,
A812020,,,Unknown,
A811025,,,Unknown,
A867468,,,Unknown,
A869077,,,Unknown,
A862842,,,Unknown,
A872676,,,Unknown,
A906790,,,Unknown,
A866200,,,Unknown,
A847891,,,Unknown,
A830146,,,Unknown,
A882449,,,Unknown,
A824587,,,Unknown,
A856455,,,Unknown,
A842604,,,Unknown,
A742648,,,Unknown,
A847902,,,Unknown,
A825743,,,Unknown,
A893746,,,Unknown,
A873405,,,Unknown,
A900764,,,Unknown,
A848187,,,Unknown,
A827315,,,Unknown,
A874298,,,Unknown,
A861971,,,Unknown,
A840796,,,Unknown,
A872415,,,Unknown,
A834934,,,Unknown,
A802026,,,Unknown,
A883539,,,Unknown,
A830449,,,Unknown,
A834248,,,Unknown,
A856037,,,Unknown,
A905398,,,Unknown,
A825460,,,Unknown,
A884027,,,Unknown,
A839313,,,Unknown,
A875616,,,Unknown,
A842283,,,Unknown,
A905719,,,Unknown,
A897798,,,Unknown,
A848219,,,Unknown,
A812549,,,Unknown,
A909148,,,Unknown,
A860875,,,Unknown,
A892402,,,Unknown,
A758574,,,Unknown,
A811923,,,Unknown,
A832899,,,Unknown,
A907003,,,Unknown,
A838182,,,Unknown,
A866216,,,Unknown,
A876331,,,Unknown,
A910847,,,Unknown,
A827138,,,Unknown,
A906703,,,Unknown,
A861972,,,Unknown,
A873982,,,Unknown,
A728544,,,Unknown,
A839725,,,Unknown,
A851184,,,Unknown,
A819006,,,Unknown,
A913473,,,Unknown,
A809754,,,Unknown,
A760729,,,Unknown,
A812901,,,Unknown,
A841952,,,Austin,TX
A853908,,,Unknown,
A819685,,,Unknown,
A857778,,,Unknown,
A905151,,,Unknown,
A812763,,,Unknown,
A918338,,,Unknown,
A825076,,,Unknown,
A925129,,,Unknown,
A846938,,,Unknown,
A833321,,,Unknown,
A917001,,,Unknown,
A843539,,,Austin,TX
A919091,,Aac,Austin,TX
A919092,,Aac,Austin,TX
A905282,,Aac,Austin,TX
A919093,,Aac,Austin,TX
A924955,,Aac,Austin,TX
A918619,,Aac,Austin,TX
A912625,,Abandoned Backyard,Austin,TX
A927622,,Aberdeen Way,Austin,TX
A927623,,Aberdeen Way,Austin,TX
A927619,,Aberdeen Way,Austin,TX
A927620,,Aberdeen Way,Austin,TX
A927621,,Aberdeen Way,Austin,TX
A875743,,Aberdeen Way And Childress Drive,Austin,TX
A859103,,Aberdeen Way And East Rundberg,Austin,TX
A834540,,Abilene Trail And Dove Meadow Drive,Austin,TX
A813996,,Abrahamson Road And Fm 1100,Travis County,TX
A849677,,Abrams Drive And Silver Fox Drive,Travis County,TX
A910376,,Ac Staff Found At Shelter,Austin,TX
A866447,,Access Road 290,Austin,TX
A901893,,Across From 5500 Blue Bluff Road,Austin,TX
A901892,,Across From 5500 Blue Bluff Road,Austin,TX
A828322,,Adair Drive,Austin,TX
A828321,,Adair Drive,Austin,TX
A909303,,Adalee Avenue Abd Manor Road,Austin,TX
A895318,,Addison And S 183,Austin,TX
A879902,,Adelle Avenue And Manor Road,Austin,TX
A879904,,Adelle Avenue And Manor Road,Austin,TX
A913766,,Adobe Trail And Granada Hills Drive,Austin,TX
A847137,,Aftonshire Way,Austin,TX
A861985,,Agatha Circle,Austin,TX
A861790,,Agatha Circle,Austin,TX
A861987,,Agatha Circle,Austin,TX
A861788,,Agatha Circle,Austin,TX
A912308,,Ahs,Austin,TX
A912310,,Ahs,Austin,TX
A919071,,Ahs,Austin,TX
A912307,,Ahs,Austin,TX
A919069,,Ahs,Austin,TX
A912311,,Ahs,Austin,TX
A912309,,Ahs,Austin,TX
A858963,,Airport,Austin,TX
A908094,,Airport,Austin,TX
A832089,,Airport,Austin,TX
A858856,,Airport,Austin,TX
A853303,,Airport And 12Th Street,Austin,TX
A834304,,Airport And 183,Austin,TX
A848437,,Airport And 183,Austin,TX
A848438,,Airport And 183,Austin,TX
A848775,,Airport And 290,Austin,TX
A904693,,Airport And 32Nd Street,Austin,TX
A921244,,Airport And 71,Austin,TX
A859200,,Airport And Bolm,Austin,TX
A864900,,Airport And Bolm,Austin,TX
A870167,,Airport And Bolm Road,Austin,TX
A841589,,Airport And East 51St Street,Austin,TX
A886206,,Airport And Glissman,Austin,TX
A886204,,Airport And Glissman,Austin,TX
A830570,,Airport And Guadalupe Street,Austin,TX
A851936,,Airport And Gunter St,Austin,TX
A880743,,Airport And Highland Mall,Austin,TX
A880842,,Airport And Highway 183,Austin,TX
A854542,,Airport And Manor,Austin,TX
A731077,,Airport And Manor,Austin,TX
A856563,,Airport And Manor Road,Austin,TX
A860494,,Airport And Manor Road,Austin,TX
A891978,,Airport And Mlk,Austin,TX
A906386,,Airport And Oak Springs,Austin,TX
A899637,,Airport And Shady Ln,Austin,TX
A899636,,Airport And Shady Ln,Austin,TX
A896121,,Airport And Shady Ln,Austin,TX
A855529,,Airport And Springdale,Austin,TX
A858145,,Airport And Springdale,Austin,TX
A568945,,Airport And Springdale,Austin,TX
A827113,,Airport And Springdale,Austin,TX
A926125,,Airport And Springdale,Austin,TX
A858148,,Airport And Springdale,Austin,TX
A811374,,Airport And Springdale,Austin,TX
A770236,,Airport And Springdale,Austin,TX
A858150,,Airport And Springdale,Austin,TX
A858144,,Airport And Springdale,Austin,TX
A858147,,Airport And Springdale,Austin,TX
A858146,,Airport And Springdale,Austin,TX
A827112,,Airport And Springdale,Austin,TX
A913618,,Airport Boulevard,Austin,TX
A898213,,Airport Boulevard,Austin,TX
A900700,,Airport Boulevard,Austin,TX
A910085,,Airport Boulevard,Austin,TX
A864414,,Airport Boulevard,Austin,TX
A864734,,Airport Boulevard,Austin,TX
A864736,,Airport Boulevard,Austin,TX
A898216,,Airport Boulevard,Austin,TX
A898215,,Airport Boulevard,Austin,TX
A836885,,Airport Boulevard,Austin,TX
A864735,,Airport Boulevard,Austin,TX
A898214,,Airport Boulevard,Austin,TX
A836683,,Airport Boulevard,Austin,TX
A900703,,Airport Boulevard,Austin,TX
A898212,,Airport Boulevard,Austin,TX
A863449,,Airport Boulevard,Austin,TX
A827462,,Airport Boulevard & Gunter Boulevard,Austin,TX
A892345,,Airport Boulevard And Aldrich Boulevard,Austin,TX
A850533,,Airport Boulevard And Bolm Road,Austin,TX
A830980,,Airport Boulevard And East 12Th,Austin,TX
A917919,,Airport Boulevard And East Seventh Street,Austin,TX
A907609,,Airport Boulevard And Goodwin Avenue,Austin,TX
A819746,,Airport Boulevard And Gunter Boulevard,Austin,TX
A886739,,Airport Boulevard And Gunter Street,Austin,TX
A886740,,Airport Boulevard And Gunter Street,Austin,TX
A886741,,Airport Boulevard And Gunter Street,Austin,TX
A882129,,Airport Boulevard And Gunter Street,Travis County,TX
A886835,,Airport Boulevard And Gunter Street,Austin,TX
A670937,,Airport Boulevard And Ih 35,Austin,TX
A825091,,Airport Boulevard And Levander Loop,Austin,TX
A839189,,Airport Boulevard And Martin Luther King Jr Boulevard,Austin,TX
A858092,,Airport Boulevard And Oak Springs,Austin,TX
A858093,,Airport Boulevard And Oak Springs,Austin,TX
A858090,,Airport Boulevard And Oak Springs,Austin,TX
A858091,,Airport Boulevard And Oak Springs,Austin,TX
A909875,,Airport Boulevard And Oak Springs Road,Austin,TX
A882392,,Airport Boulevard And Shady Lane,Austin,TX
A882394,,Airport Boulevard And Shady Lane,Austin,TX
A882391,,Airport Boulevard And Shady Lane,Austin,TX
A882393,,Airport Boulevard And Shady Lane,Austin,TX
A882395,,Airport Boulevard And Shady Lane,Austin,TX
A833410,,Airport Boulevard And Tillery Street,Austin,TX
A928153,,Airport Boulevard And Zach Scott Boulevard,Austin,TX
A822530,,Airport Commerce And Montopolis,Austin,TX
A813787,,Airport Commerce Boulevard And E Ben White Boulevard,Austin,TX
A880866,,Airport Commerce Boulevard And E Ben White Boulevard,Austin,TX
A892462,,Airport Exit On Ih 35 Nb,Austin,TX
A879999,,Airport Goodwill,Austin,TX
A821219,,Airport Road,Austin,TX
A831111,,Alameda Trace Circle And Research Boulevard,Austin,TX
A814878,,Alamo And Poquito,Austin,TX
A735450,,Alamo Street And East 13Th Street,Austin,TX
A896330,,Albert Voelker Rd,Travis County,TX
A847677,,Aldea And Matthews,Austin,TX
A872947,,Alderbrook Drive,Austin,TX
